,0
0,887
1,238
2,22
3,901
4,711
5,641
6,879
7,368
8,628
9,53
10,44
11,851
12,450
13,165
14,715
15,685
16,917
17,442
18,398
19,718
20,99
21,863
22,166
23,249
24,163
25,56
26,723
27,225
28,928
29,949
30,675
31,926
32,808
33,49
34,919
35,959
36,207
37,682
38,609
39,193
40,933
41,69
42,820
43,745
44,389
45,370
46,836
47,651
48,816
49,993
50,752
51,998
52,858
53,795
54,366
55,788
56,859
57,903
58,38
59,70
60,328
61,709
62,652
63,828
64,846
65,997
66,14
67,844
68,757
69,830
70,883
71,35
72,878
73,488
74,393
75,209
76,136
77,448
78,316
79,117
80,45
81,150
82,57
83,638
84,673
85,667
86,13
87,137
88,474
89,990
90,93
91,802
92,601
93,178
94,973
95,77
96,294
97,83
98,915
99,962
100,984
101,756
102,999
103,104
104,323
105,783
106,143
107,89
108,606
109,764
110,325
111,818
112,657
113,113
114,610
115,33
116,351
117,833
118,882
119,759
120,786
121,881
122,306
123,95
124,61
125,485
126,125
127,120
128,712
129,775
130,739
131,449
132,152
133,908
134,396
135,124
136,390
137,676
138,939
139,4
140,466
141,896
142,492
143,633
144,730
145,932
146,800
147,307
148,155
149,404
150,111
151,329
152,87
153,363
154,664
155,768
156,180
157,417
158,67
159,345
160,198
161,149
162,330
163,270
164,622
165,612
166,994
167,64
168,309
169,847
170,179
171,894
172,283
173,793
174,287
175,151
176,691
177,977
178,741
179,16
180,736
181,372
182,658
183,472
184,301
185,188
186,265
187,139
188,921
189,950
190,884
191,722
192,776
193,46
194,413
195,955
196,213
197,25
198,199
199,737
200,384
201,161
202,2
203,870
204,996
205,236
206,821
207,432
208,437
209,247
210,888
211,418
212,974
213,227
214,803
215,835
216,452
217,205
218,490
219,430
220,346
221,614
222,868
223,153
224,451
225,772
226,245
227,121
228,173
229,733
230,171
231,708
232,704
233,767
234,493
235,97
236,145
237,458
238,291
239,405
240,239
241,338
242,653
243,353
244,342
245,24
246,80
247,105
248,910
249,842
250,927
251,789
252,666
253,324
254,211
255,429
256,335
257,416
258,866
259,840
260,244
261,423
262,792
263,891
264,23
265,79
266,677
267,415
268,319
269,232
270,65
271,109
272,395
273,268
274,12
275,428
276,251
277,187
278,784
279,781
280,852
281,91
282,159
283,403
284,992
285,129
286,36
287,118
288,352
289,495
290,696
291,877
292,425
293,649
294,274
295,259
296,618
297,478
298,963
299,408
300,285
301,468
302,114
303,96
304,364
305,126
306,848
307,827
308,615
309,445
310,88
311,446
312,890
313,853
314,412
315,947
316,989
317,475
318,222
319,845
320,668
321,625
322,813
323,620
324,936
325,956
326,761
327,690
328,695
329,889
330,256
331,900
332,809
333,371
334,84
335,943
