,0
0,761
1,342
2,281
3,244
4,229
5,521
6,782
7,496
8,735
9,652
10,512
11,434
12,700
13,683
14,388
15,63
16,377
17,245
18,575
19,240
20,956
21,830
22,760
23,736
24,406
25,613
26,243
27,354
28,371
29,878
30,565
31,833
32,567
33,544
34,469
35,45
36,53
37,96
38,368
39,999
40,47
41,720
42,584
43,541
44,421
45,211
46,345
47,796
48,277
49,742
50,358
51,825
52,206
53,391
54,645
55,334
56,335
57,318
58,475
59,998
60,790
61,257
62,703
63,591
64,242
65,470
66,271
67,482
68,659
69,604
70,599
71,400
72,205
73,515
74,676
75,61
76,88
77,415
78,851
79,555
80,716
81,262
82,387
83,72
84,582
85,530
86,411
87,916
88,814
89,600
90,870
91,501
92,213
93,307
94,447
95,344
96,890
97,955
98,397
99,795
100,834
101,968
102,893
103,410
104,660
105,234
106,872
107,623
108,337
109,539
110,408
111,983
112,595
113,429
114,944
115,980
116,261
117,477
118,359
119,561
120,338
121,396
122,849
123,219
124,365
125,717
126,607
127,606
128,952
129,54
130,806
131,289
132,520
133,738
134,407
135,559
136,909
137,431
138,468
139,62
140,343
141,87
142,680
143,212
144,265
145,267
146,926
147,689
148,356
149,393
150,568
151,992
152,264
153,41
154,563
155,522
156,883
157,366
158,816
159,399
160,798
161,214
162,362
163,888
164,572
165,625
166,456
167,78
168,14
169,258
170,734
171,517
172,900
173,583
174,480
175,38
176,461
177,427
178,463
179,518
180,886
181,25
182,880
183,672
184,692
185,729
186,443
187,248
188,931
189,950
190,601
191,725
192,579
193,780
194,681
195,528
196,309
197,812
198,413
199,330
200,495
201,611
202,757
203,805
204,420
205,598
206,389
207,566
208,970
209,723
210,750
211,978
212,655
213,688
214,336
215,100
216,769
217,414
218,201
219,714
220,450
221,634
222,405
223,620
224,706
225,855
226,58
227,874
228,453
229,55
230,339
231,739
232,5
233,22
234,478
235,465
236,246
237,953
238,773
239,914
240,57
241,704
242,984
243,913
244,642
245,31
246,753
247,202
248,637
249,74
250,503
251,90
252,616
253,437
254,215
255,210
256,701
257,726
258,222
259,752
260,907
261,722
262,446
263,458
264,509
265,897
266,881
267,669
268,471
269,982
270,97
271,577
272,75
273,885
274,459
275,852
276,60
277,497
278,948
279,850
280,666
281,319
282,95
283,894
284,310
285,402
286,766
287,492
288,36
289,332
290,20
291,386
292,216
293,711
294,911
295,16
296,236
297,276
298,348
299,558
300,15
301,207
302,547
303,272
304,755
305,799
306,1
307,549
308,328
309,17
310,227
311,532
312,484
313,84
314,840
315,731
316,737
317,811
318,649
319,315
320,677
321,273
322,425
323,313
324,947
325,381
326,901
327,69
328,778
329,718
330,266
331,378
332,832
333,376
334,939
335,624
336,290
337,263
338,741
339,574
340,454
341,636
342,546
343,597
344,853
345,646
346,23
347,7
348,285
349,758
350,705
351,269
352,462
353,882
354,733
355,369
356,656
357,392
358,506
359,922
360,585
361,39
362,835
363,856
364,570
365,858
366,889
367,92
368,300
369,988
370,293
371,379
372,930
373,390
374,748
375,612
376,941
377,224
378,644
379,12
380,364
381,719
382,286
383,848
384,745
385,259
386,794
387,996
388,792
389,937
390,917
391,441
392,678
393,485
394,698
395,837
396,895
397,774
398,622
399,21
400,770
401,822
402,460
403,448
404,347
405,548
406,630
407,808
408,499
409,270
410,404
411,602
412,395
413,33
414,93
415,373
416,605
417,685
418,26
419,976
420,920
421,50
422,384
423,828
424,578
425,675
426,380
