,0
0,156
1,432
2,2
3,537
4,886
5,942
6,783
7,528
8,811
9,615
10,204
11,588
12,17
13,410
14,158
15,56
16,586
17,845
18,75
19,901
20,456
21,687
22,556
23,787
24,832
25,579
26,136
27,813
28,462
29,29
30,434
31,688
32,57
33,83
34,421
35,945
36,286
37,933
38,538
39,659
40,979
41,850
42,265
43,624
44,961
45,816
46,151
47,10
48,800
49,229
50,52
51,480
52,433
53,248
54,49
55,871
56,474
57,115
58,773
59,720
60,417
61,424
62,665
63,922
64,440
65,59
66,413
67,289
68,40
69,141
70,781
71,580
72,176
73,121
74,84
75,819
76,649
77,661
78,33
79,529
80,925
81,122
82,941
83,582
84,268
85,695
86,475
87,882
88,77
89,173
90,803
91,768
92,65
93,442
94,644
95,796
96,447
97,223
98,884
99,627
100,799
101,234
102,864
103,113
104,231
105,36
106,464
107,128
108,95
109,479
110,444
111,285
112,993
113,594
114,634
115,930
116,684
117,770
118,679
119,244
120,939
121,431
122,949
123,266
124,685
125,927
126,826
127,911
128,168
129,763
130,727
131,810
132,182
133,24
134,645
135,938
136,525
137,70
138,403
139,188
140,154
141,758
142,868
143,653
144,587
145,146
146,782
147,64
148,107
149,8
150,48
151,521
152,504
153,263
154,648
155,906
156,633
157,405
158,293
159,466
160,833
161,712
162,834
163,503
164,857
165,105
166,463
167,984
168,762
169,125
170,613
171,276
172,936
173,992
174,921
175,259
176,898
177,657
178,97
179,858
180,968
181,195
182,954
183,703
184,67
185,523
186,793
187,602
188,30
189,298
190,753
191,212
192,880
193,270
194,980
195,112
196,516
197,183
198,277
199,838
200,618
201,598
202,291
203,11
204,704
205,960
206,137
207,215
208,488
209,211
210,261
211,94
212,68
213,165
214,732
215,233
216,278
217,71
218,189
219,110
220,881
221,245
222,31
223,177
224,988
225,632
226,549
227,829
228,412
229,20
230,652
231,668
232,821
233,37
234,282
235,222
236,608
237,104
238,558
239,820
240,828
241,247
242,451
243,748
244,607
245,279
246,283
247,835
248,849
249,51
250,161
251,472
252,944
253,601
254,805
255,7
256,103
257,978
258,904
259,977
260,473
261,655
262,707
263,948
264,777
265,489
266,284
267,419
268,701
269,46
270,736
271,455
272,15
273,890
274,629
275,789
276,200
277,951
278,725
279,88
280,533
281,194
282,584
283,73
284,874
285,66
286,401
287,719
288,883
289,651
290,718
291,272
292,39
293,964
294,946
295,943
296,599
297,269
298,689
299,918
300,578
301,840
302,667
303,135
304,153
305,861
306,620
307,569
308,106
309,974
310,102
311,852
312,635
313,596
314,885
315,575
316,856
317,524
318,639
319,919
320,26
321,416
322,895
323,93
324,4
325,985
326,69
327,414
328,734
329,507
330,731
331,891
332,989
333,581
334,690
335,905
336,630
337,662
338,409
339,186
340,713
341,729
342,241
343,12
344,271
345,595
346,175
347,239
348,167
349,100
350,788
351,172
352,756
353,213
354,875
355,654
356,217
357,589
358,929
359,765
360,159
361,934
362,722
363,723
364,544
365,817
366,947
367,171
368,42
369,631
370,865
371,41
372,402
373,717
374,469
375,955
376,965
377,441
378,531
379,611
380,63
381,844
382,510
383,515
384,692
385,637
386,776
387,501
388,120
389,133
390,155
391,527
392,555
393,878
394,636
395,705
396,139
397,111
398,55
399,517
400,190
401,509
402,530
403,185
404,471
405,709
406,716
407,124
408,438
409,694
410,680
411,546
412,205
413,809
414,726
415,554
416,674
417,542
418,870
419,465
420,752
421,623
422,228
423,708
424,28
425,545
426,995
427,836
428,520
429,81
430,92
431,837
432,428
433,242
434,99
435,714
436,676
437,863
438,226
439,142
440,656
441,691
442,785
443,237
444,482
445,780
446,812
447,986
448,252
449,877
450,535
451,407
452,570
453,448
454,957
455,560
456,260
457,35
458,806
459,609
460,19
461,593
462,214
463,411
464,893
465,696
466,775
467,249
468,207
469,612
470,495
471,258
472,769
473,931
474,427
475,490
476,256
477,987
478,505
479,82
480,461
481,628
482,642
483,60
484,764
485,843
486,739
487,715
488,876
489,900
490,585
491,541
492,494
493,761
494,219
495,262
496,457
497,958
498,9
499,666
500,846
501,80
502,663
503,670
504,982
505,430
506,526
507,814
508,502
509,855
510,576
511,54
512,996
513,735
514,89
515,422
516,610
517,478
518,559
519,209
520,492
521,114
522,50
523,446
524,201
525,619
526,908
527,950
528,452
529,755
530,664
531,119
532,27
533,745
534,597
535,592
536,724
537,199
538,238
539,126
540,640
541,76
542,86
543,453
544,250
545,660
546,621
547,147
548,744
549,839
550,572
551,675
552,5
553,907
554,450
555,44
556,275
557,467
558,854
559,34
560,867
561,143
562,157
563,78
564,746
565,766
566,206
567,952
568,760
569,994
570,45
571,912
572,792
573,801
574,240
575,888
576,420
577,170
578,807
579,174
580,187
581,449
582,227
583,518
584,296
585,802
586,565
587,534
588,915
589,737
590,818
591,742
592,650
593,733
594,962
595,197
596,485
597,418
598,603
599,235
600,264
601,145
602,966
603,795
604,273
605,498
606,429
607,772
608,85
609,743
610,300
611,499
612,483
613,208
614,622
615,140
616,423
617,149
618,932
619,771
620,823
621,62
622,181
623,23
624,160
625,552
626,638
627,928
628,702
629,274
630,902
631,967
632,557
633,470
634,150
635,91
636,963
637,493
638,14
639,956
640,896
641,975
642,641
643,643
644,13
645,848
646,32
647,178
648,484
649,22
650,203
651,914
652,706
653,72
654,574
655,3
656,824
657,860
658,625
659,784
660,255
661,439
662,568
663,513
664,144
665,899
666,910
667,605
668,903
669,940
670,551
671,257
672,487
673,937
674,129
675,522
676,109
677,972
678,184
679,831
680,847
681,108
682,693
683,700
684,590
685,491
686,970
687,677
688,79
689,202
690,859
691,827
692,287
693,797
694,614
695,646
696,673
697,897
698,90
699,577
700,562
701,759
702,224
703,730
704,164
705,917
706,404
707,481
708,697
709,969
710,425
711,198
712,583
713,862
714,567
715,754
716,196
717,923
718,892
719,547
720,21
721,686
722,606
723,236
724,460
725,916
726,281
727,563
728,710
729,295
730,971
731,435
732,873
733,43
734,767
735,138
736,166
737,550
738,798
739,869
740,98
741,38
742,299
743,294
744,468
745,786
746,543
747,976
748,253
749,808
750,721
751,127
752,790
753,959
754,681
755,512
756,591
757,913
758,216
759,232
760,866
761,96
762,243
763,297
764,477
765,671
766,616
767,134
768,699
769,872
770,879
771,751
772,117
773,920
774,536
775,132
776,25
777,406
778,698
779,511
780,436
781,193
782,87
783,548
784,750
785,983
786,683
787,6
788,415
789,973
790,225
791,118
792,192
793,804
794,669
795,728
796,853
797,16
798,152
799,540
800,290
801,842
802,672
803,774
804,61
805,18
806,997
807,1
808,251
