,0
0,31
1,58
2,633
3,597
4,316
5,52
6,960
7,449
8,566
9,146
10,508
11,210
12,979
13,329
14,525
15,970
16,770
17,177
18,60
19,383
20,539
21,972
22,322
23,484
24,241
25,280
26,235
27,626
28,607
29,397
30,331
31,939
32,583
33,131
34,97
35,769
36,291
37,998
38,183
39,90
40,296
41,754
42,509
43,182
44,791
45,483
46,580
47,710
48,197
49,691
50,204
51,502
52,161
53,352
54,943
55,274
56,342
57,102
58,907
59,613
60,964
61,512
62,557
63,690
64,542
65,750
66,689
67,647
68,599
69,129
70,456
71,42
72,293
73,702
74,721
75,949
76,704
77,780
78,488
79,156
80,163
81,482
82,749
83,637
84,245
85,123
86,117
87,999
88,63
89,220
90,534
91,795
92,796
93,692
94,47
95,697
96,358
97,545
98,967
99,629
100,698
101,548
102,638
103,448
104,530
105,198
106,460
107,74
108,905
109,437
110,747
111,380
112,668
113,494
114,585
115,495
116,550
117,409
118,350
119,981
120,157
121,330
122,196
123,611
124,402
125,290
126,537
127,563
128,932
129,658
130,77
131,477
132,540
133,400
134,417
135,4
136,205
137,88
138,202
139,988
140,504
141,222
142,772
143,463
144,705
145,595
146,701
147,662
148,53
149,327
150,415
151,520
152,254
153,368
154,707
155,121
156,619
157,261
158,908
159,742
160,659
161,394
162,914
163,314
164,366
165,971
166,547
167,414
168,190
169,32
170,687
171,407
172,451
173,396
174,575
175,134
176,755
177,541
178,29
179,726
180,573
181,141
182,445
183,411
184,553
185,493
186,532
187,424
188,23
189,320
190,110
191,124
192,677
193,68
194,767
195,961
196,89
197,19
198,434
199,130
200,335
201,591
202,243
203,79
204,246
205,625
206,756
207,215
208,956
209,10
210,680
211,429
212,76
213,454
214,17
215,438
216,455
217,372
218,452
219,441
220,109
221,391
222,148
223,425
224,126
225,794
226,276
227,601
228,49
229,584
230,609
231,491
232,373
233,622
234,433
235,214
236,106
237,681
238,392
239,132
240,176
241,672
242,975
243,430
244,946
245,524
246,578
247,522
248,385
249,667
250,439
251,560
252,295
253,395
254,144
255,941
256,356
257,616
258,950
259,527
260,35
261,785
262,272
263,977
264,324
265,66
266,379
267,232
268,69
269,423
270,173
271,712
272,127
273,652
274,298
275,3
276,285
277,217
278,716
279,506
280,341
281,571
282,440
283,461
284,651
285,94
286,779
287,605
288,377
289,359
290,940
291,911
292,305
293,771
294,450
295,139
296,618
297,378
298,62
299,349
300,694
301,574
302,282
303,498
304,5
305,984
306,909
307,535
308,208
309,12
310,628
311,926
312,249
313,614
314,674
315,544
316,93
317,54
318,354
319,92
320,142
321,346
322,165
323,753
324,715
325,565
326,919
327,120
328,457
329,655
330,682
331,82
332,447
333,192
334,918
335,33
336,731
337,982
338,797
339,315
340,113
341,564
342,671
343,555
344,133
345,464
346,375
347,428
348,408
349,348
350,167
351,283
352,536
353,212
354,670
355,517
356,25
357,153
358,184
359,223
360,390
361,140
362,201
363,765
364,381
365,621
366,138
367,600
368,713
369,561
370,325
371,947
372,262
373,653
374,310
375,459
376,119
377,256
378,13
379,496
380,558
381,230
382,237
383,195
384,790
385,666
386,758
387,105
388,903
389,36
390,194
391,966
392,743
393,552
394,723
395,304
396,777
397,569
398,928
399,145
400,9
401,676
402,86
403,34
404,159
405,489
406,902
407,642
408,768
409,735
410,71
411,362
412,307
413,519
414,180
415,260
416,277
417,901
418,954
419,259
420,164
421,789
422,426
423,529
424,431
425,321
426,620
427,588
428,239
429,288
430,405
431,364
432,357
433,627
434,334
435,962
436,227
437,596
438,679
439,693
440,501
441,736
442,306
443,1
444,510
445,952
446,531
447,16
448,224
449,706
450,764
451,514
452,253
453,229
454,151
455,643
456,724
457,446
458,95
459,413
460,665
461,469
462,376
463,388
464,748
465,6
466,100
467,200
468,193
469,273
470,427
471,996
472,213
473,567
474,187
475,442
476,147
477,150
478,169
479,59
480,579
481,466
482,568
483,528
484,744
485,154
486,572
487,118
488,906
489,443
490,958
491,606
492,191
493,786
494,225
495,84
496,137
497,993
498,959
499,948
500,252
501,339
502,503
503,630
504,931
505,953
506,604
507,332
508,586
509,80
510,685
511,27
512,576
513,258
514,421
515,526
516,231
517,278
518,927
519,644
520,136
521,337
522,725
523,55
524,317
525,384
526,732
527,492
528,922
529,624
530,199
531,480
532,103
533,673
534,686
535,211
536,787
537,475
538,209
539,664
540,733
541,799
542,486
543,203
544,543
545,987
546,67
547,387
548,792
549,255
550,26
551,236
552,181
553,152
554,513
555,355
556,7
557,244
558,994
559,286
560,444
561,340
562,646
563,313
564,50
565,603
566,969
567,2
568,784
569,275
570,924
571,781
572,64
573,663
574,308
575,610
576,938
577,108
578,602
579,318
580,612
581,593
582,72
583,98
584,470
585,763
586,734
587,511
588,467
589,551
590,774
591,14
592,708
593,360
594,311
595,587
596,218
597,216
598,675
599,759
600,294
601,476
602,264
603,267
604,41
605,240
606,416
607,570
608,420
609,160
610,703
611,114
612,263
613,592
614,111
615,757
616,788
617,995
618,39
619,930
620,333
621,944
622,985
623,99
624,303
625,594
626,270
627,116
628,374
629,728
630,73
631,422
632,778
633,179
634,973
635,582
636,521
637,957
638,81
639,645
640,300
641,453
642,101
643,696
644,656
645,51
646,403
647,419
648,700
649,75
650,683
651,562
652,170
653,992
654,649
655,289
656,989
657,481
658,83
659,955
660,699
661,776
662,917
663,516
664,48
665,474
666,641
667,974
668,149
669,739
670,916
671,301
672,505
673,798
674,371
675,968
676,608
677,997
678,923
679,718
680,720
681,709
682,393
683,221
684,175
685,15
686,738
687,590
688,435
689,737
690,472
691,688
692,684
693,128
694,980
695,24
696,228
697,800
698,37
699,8
700,104
701,367
702,717
703,347
704,56
705,96
706,265
707,660
708,166
709,353
710,678
711,410
712,412
713,920
714,657
715,722
716,518
717,336
718,28
719,636
720,714
721,115
722,921
723,730
724,344
725,91
726,44
727,793
728,740
729,242
730,370
731,648
732,404
733,247
734,986
735,309
736,589
737,497
738,171
739,559
740,112
741,65
742,915
743,399
744,234
745,87
746,174
747,107
748,143
749,398
750,473
751,406
752,465
753,577
754,752
755,328
756,266
757,125
758,983
759,935
760,635
761,617
762,615
763,319
764,248
765,78
766,773
767,632
768,515
769,945
770,22
771,538
772,766
773,500
774,925
775,188
776,287
777,168
778,206
779,631
780,978
781,468
782,458
783,904
784,162
785,40
786,929
787,762
788,135
789,226
790,365
791,913
792,238
793,30
794,271
795,485
796,418
797,401
798,21
799,207
800,432
801,549
802,661
803,122
804,745
805,499
806,43
807,389
808,933
